116098966  1   1   1    237.15   4.65  18.23 0.32 120-sec   
304093921  3   1   0    341.4   17.23  22.44 0.18 120-sec   
468551317  2   1   0    333.11   5.44  23.21 0.29 120-sec   
276836579  2   1   1     79.95   0.0    8.14 0.04 120-sec   
441600795  2   1   1    367.11   6.78  25.51 0.19 120-sec   
 64110074  1   1   1    318.85   4.07  23.15 0.36 120-sec   
247017590  1   1   1    237.48   3.9   17.6  0.09 120-sec   
 56939404  1   1   1    400.46   7.91  27.09 0.35 120-sec   
334796818  2   1   1    330.18   4.76  21.93 0.12 120-sec   
381048301  1   1   0    205.75   4.48  17.68 0.26 120-sec   
 51516666  1   1   1    302.25   7.05  21.03 0.2  120-sec   
 88405751  2   1   1    412.95   3.63  28.5  0.2  120-sec   
367675108  1   1   1    467.73  15.47  29.66 0.37 120-sec   
214664574  3   1   1    918.31  27.06  50.87 0.46 120-sec SB9
 28289539  2   1   1    426.64   4.45  29.46 0.21 120-sec   
267193828  3   1   1    287.45   4.28  20.93 0.11 120-sec   
 98855661  1   1   0    214.12   6.78  16.02 0.36 120-sec   
 16429933  1   1   1    332.26   7.92  21.71 1.27 120-sec   
194324040  1   1   1    363.76   4.48  25.14 0.27 120-sec   
206408544  1   1   1    385.06   9.57  26.28 0.33 120-sec   
 34566519  1   1   1    263.69   5.18  19.66 0.18 120-sec   
273228569  1   1   1    362.86  15.06  25.73 0.4  120-sec   
350342269 10   1   0    478.98   7.2   29.46 0.32 120-sec   
 19072004  1   1   1    277.11   5.21  19.06 0.31 120-sec SB9
231052877  2   1   1    244.23   7.55  18.82 0.58 120-sec   
142242830  1   1   1    347.6    9.7   25.58 0.2  120-sec   
233494936 12   1   0    468.54  17.3   31.36 0.18 120-sec   
456871289  2   1   0    702.39  11.24  36.16 0.24 120-sec PH
309850790  1   1   1    333.34   6.35  23.02 0.22 120-sec   
334300248  1   0   1    321.06  19.33  21.08 0.22 120-sec   
257434643  1   1   1    308.22   4.28  21.6  0.28 120-sec   
301620673  1   1   1    401.21   7.28  27.86 0.23 120-sec   
149583704  1   1   1    356.92   6.58  24.24 0.14 120-sec   
389776736  2   1   0    155.46   9.95  11.53 0.14 120-sec   
232483793  1   1   1    374.78   7.71  26.84 0.39 120-sec   
145979593  4   1   1    440.1    3.2   28.5  0.2  120-sec   
363381585  1   1   1    284.79  16.26  20.78 0.26 120-sec   
 21717932  2   1   0    240.68   7.56  19.19 0.45 120-sec   
220016898  4   1   1    561.72   4.43  34.18 0.28 120-sec   
405457933  3   1   1    192.44   3.33  15.38 0.09 120-sec   
 39776997  1   1   1    724.38  13.54  51.46 0.64 120-sec   
 30342298  1   1   1    321.61   8.49  23.15 0.29 120-sec   
 39775613  1   1   1    303.68  10.58  23.08 0.22 120-sec   
101588050  2   1   0    608.12  13.6   34.86 0.15 120-sec   
234653867  1   1   1    242.41   7.97  19.84 0.26 120-sec   
 61447796  1   1   1    457.13   9.67  28.22 0.87 120-sec   
100612127  2   1   1    221.12   4.45  16.86 0.15 120-sec   
272177556  2   1   1    451.03  10.28  26.76 0.26 120-sec   
332487441  1   1   1    272.61   3.8   19.23 0.36 120-sec   
236889115  8   1   1    270.5    2.37  19.62 0.09 120-sec   
267863491  3   1   1    266.36   6.32  20.78 0.18 120-sec   
407928331  1   1   1    379.39   8.38  24.1  0.21 120-sec   
132701315  2   1   1    313.32   6.43  21.34 0.4  120-sec   
101913979  1   1   1    400.43   3.83  25.96 0.32 120-sec   
119093189  1   1   0    287.97   6.51  21.24 0.71 120-sec   
400334460  2   1   1    281.54  10.23  21.08 0.32 120-sec   
250510555  1   1   1    340.75  14.09  23.65 0.23 120-sec   
443628713  2   1   0    278.04   4.92  19.02 0.09 120-sec   
325207730  1   1   1    407.45  12.87  25.07 1.78 120-sec   
161135421  1   1   1    385.03   7.06  27.26 0.82 120-sec   
144775473  1   1   1    224.87   7.18  17.43 0.4  120-sec   
 22083423  2   1   0    649.81  34.04  38.89 0.36 120-sec   
149399133  1   1   1    331.63  12.27  22.26 0.42 120-sec   
 27417579  2   1   1    444.8    6.68  27.26 0.13 120-sec   
462744207  4   1   0    669.23  25.67  37.55 0.25 120-sec   
150326709  2   1   1    324.72   7.25  23.21 0.2  120-sec   
120931911  3   1   1    675.89   4.99  39.06 0.18 120-sec   
131572527  2   1   1    331.7    4.14  23.97 0.28 120-sec   
 27548343  5   1   1    466.96   7.02  30.59 0.17 120-sec   
136915882  2   1   0    688.24  37.69  40.89 0.2  120-sec   
138129226  1   1   1    375.36   4.84  26.19 0.25 120-sec   
 63940700  1   1   0                              120-sec   
272573206  3   1   1    410.65   5.86  25.44 0.19 120-sec   
140740605  1   1   1    367.04   9.47  24.17 0.21 120-sec   
157331891  3   1   0    467.22  12.88  31.03 0.17 120-sec   
388573917  2   1   1    350.17   6.34  22.96 0.16 120-sec   
 38350889  2   1   0    606.77  20.28  35.28 0.22 120-sec   
273987248  2   1   1    224.32   4.52  17.12 0.1  120-sec   
235300384  1   1   1    280.15   5.32  21.49 1.04 120-sec   
461518339  5   1   1    255.2    3.93  18.46 0.08 120-sec   
405838040  2   1   0    376.36   6.03  24.51 0.29 120-sec   
235983493  7   1   0    252.45   5.2   18.86 0.11 120-sec   
441813918 15   1   0    690.65   2.96  42.27 0.0  120-sec   
