ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC279342892,TESS,TESS/TIC279342892.pow,1160.0,38.0,63.2,0.4,5975.0,120.0,0.8094635,0.1,10
TIC281667171,TESS,TESS/TIC281667171.pow,1593.0,44.0,82.6,0.6,5939.0,120.0,0.7356639,0.1,10
TIC281812116,TESS,TESS/TIC281812116.pow,1997.0,117.0,92.5,1.5,6648.0,120.0,0.5653491,0.1,10
TIC282038438,TESS,TESS/TIC282038438.pow,1061.0,28.0,56.2,1.6,6433.0,120.0,0.64264846,0.1,10
TIC282254078,TESS,TESS/TIC282254078.pow,622.0,9.0,36.2,0.7,5595.0,120.0,0.8794241,0.1,10
TIC285544488,TESS,TESS/TIC285544488.pow,1399.0,52.0,70.8,0.6,5988.0,120.0,0.7279029,0.1,10
TIC286176467,TESS,TESS/TIC286176467.pow,1049.0,38.0,57.8,0.9,5959.0,120.0,0.77228355,0.1,10
TIC287532010,TESS,TESS/TIC287532010.pow,1005.0,65.0,54.8,0.5,6167.0,120.0,0.587096,0.1,10
TIC288183829,TESS,TESS/TIC288183829.pow,424.0,15.0,26.0,0.5,5624.0,120.0,0.8851385,0.1,10
TIC288294358,TESS,TESS/TIC288294358.pow,390.0,11.0,27.2,0.8,6129.0,120.0,0.6186514,0.1,10
TIC289622310,TESS,TESS/TIC289622310.pow,2313.0,493.0,104.8,3.5,6311.0,120.0,0.67635536,0.1,10
TIC289673491,TESS,TESS/TIC289673491.pow,1369.0,37.0,73.4,0.6,6136.0,120.0,0.68170166,0.1,10
TIC296740796,TESS,TESS/TIC296740796.pow,1856.0,46.0,89.3,0.6,5932.0,120.0,0.7825,0.1,10
TIC29845542,TESS,TESS/TIC29845542.pow,1030.0,36.0,58.8,0.9,5873.0,120.0,0.8041887,0.1,10
TIC301051051,TESS,TESS/TIC301051051.pow,3180.0,104.0,147.5,1.5,,120.0,0.9325981,0.1,10
TIC301558151,TESS,TESS/TIC301558151.pow,460.0,5.0,27.3,0.9,5005.0,120.0,1.0917735,0.1,10
TIC302158903,TESS,TESS/TIC302158903.pow,2314.0,166.0,104.1,1.3,6269.0,120.0,0.6920738,0.1,10
TIC302188141,TESS,TESS/TIC302188141.pow,1991.0,78.0,96.4,0.7,6257.0,120.0,0.65967035,0.1,10
TIC30293512,TESS,TESS/TIC30293512.pow,875.0,18.0,48.1,0.9,5640.0,120.0,0.87145185,0.1,10
TIC303704858,TESS,TESS/TIC303704858.pow,2056.0,152.0,101.3,1.5,5965.0,120.0,0.7728386,0.1,10
TIC306484795,TESS,TESS/TIC306484795.pow,1098.0,37.0,56.6,0.9,6361.0,120.0,0.626925,0.1,10
TIC308210818,TESS,TESS/TIC308210818.pow,796.0,13.0,43.7,0.6,6429.0,120.0,0.64865875,0.1,10
TIC308844962,TESS,TESS/TIC308844962.pow,1386.0,27.0,71.6,0.6,6758.0,120.0,0.6141262,0.1,10
