 29751  140580875  5.9  4.11 0.03  41.68  0.67 1 14.58  0.32 2.87 0.16
 29781  220402024  5.8  6.92 0.03  79.27  1.39 1  9.78  0.19 2.45 0.14
 29782  140578874  8.0  4.29 0.03  35.57  1.11 1 11.42  0.39 1.50 0.15
 29795  231098685  8.2  7.08 0.04  82.11  1.09 1  9.68  0.17 2.49 0.11
 29943   38908572  7.9  3.06 0.02  27.85  0.86 0 17.57  0.59 2.78 0.27
 30013   38942180  7.9  7.43 0.02  74.98  0.54 0  8.02  0.07 1.56 0.04
 30014  140598178  7.8  6.08 0.03  65.81  1.44 0 10.52  0.25 2.36 0.16
 30032  140598409  7.8  3.57 0.03  33.88  0.62 1 15.70  0.39 2.70 0.17
 30073   38942395  7.3  5.15 0.05  51.34  0.79 1 11.43  0.28 2.17 0.13
 30084  407616488  6.7  2.52 0.02  21.27  1.40 0 19.79  1.34 2.70 0.54
 30229   55399173  8.7  8.30 0.04  90.55  0.83 0  7.76  0.10 1.77 0.06
 30253   55449923  7.5  2.08 0.03  18.69  0.52 0 25.52  1.02 3.94 0.40
 30318   55399084  7.5 11.57 0.04 141.34  0.54 0  6.24  0.05 1.78 0.03
 30319   55398886  8.6  4.65 0.03  42.21  0.38 0 11.53  0.18 1.82 0.07
 30363  294665880  7.1  4.34 0.03  38.44  0.70 1 12.06  0.28 1.81 0.11
 30387  220411853  7.0  0.81 0.01   5.15  0.17 0 46.33  1.89 3.57 0.39
 30441  220414486  7.3  4.73 0.03  46.04  1.04 1 12.16  0.32 2.20 0.16
 30479  364423809  5.1  2.43 0.02  19.74  0.29 0 19.74  0.44 2.49 0.14
 30610   55478023  5.6  4.53 0.02  42.32  0.32 1 12.18  0.14 2.03 0.06
 30611   55478222  8.1  4.64 0.02  43.19  0.37 0 11.85  0.14 1.96 0.06
 30630   55478693  8.0  5.26 0.03  48.41  0.94 0 10.34  0.23 1.67 0.10
 30722  269850454  7.9  1.27 0.02   7.60  0.17 0 27.83  1.07 1.90 0.17
 30734  220419417  7.4  5.85 0.05  59.90  1.55 1 10.34  0.32 2.07 0.18
 30749   55480260  7.2  3.93 0.03  30.35  0.55 1 11.61  0.28 1.32 0.08
 30790  220418532  5.9  4.78 0.03  45.68  0.32 1 11.81  0.17 2.06 0.07
 30840  407622294  8.5  8.06 0.03  93.13  1.50 0  8.47  0.15 2.16 0.11
 31010   55523962  6.3  5.26 0.04  62.66  1.06 1 13.38  0.30 3.63 0.21
 31012  364538492  8.2  8.36 0.03 104.15  0.53 1  8.80  0.08 2.61 0.05
 31029   55524079  7.7  4.06 0.02  30.93  0.98 1 11.08  0.37 1.23 0.12
 31080  294786419  7.2 15.19 0.03 201.56  3.26 0  5.16  0.09 1.74 0.09
 31146   55524379  7.7  4.71 0.03  46.23  0.59 1 12.31  0.22 2.27 0.10
 31187  220425438  6.4  1.99 0.02  13.69  3.05 0 20.42  4.56 1.85 1.24
 31334  220429877  7.9  4.31 0.05  35.44  0.97 1 11.27  0.40 1.46 0.14
 31335  294928550  7.1  4.39 0.06  39.27  0.87 1 12.04  0.42 1.84 0.16
 31352  140634524  7.9  4.78 0.04  56.25  1.15 1 14.54  0.38 3.85 0.27
 31462  220431532  7.6  4.12 0.03  33.97  0.49 1 11.82  0.24 1.54 0.08
 31484  220431368  7.8  1.79 0.02  12.20  1.36 0 22.49  2.56 2.00 0.68
 31485   55557796  7.3  3.70 0.02  31.59  0.32 0 13.63  0.20 1.90 0.07
 31531   55559067  8.6  2.22 0.02  16.01  0.15 0 19.19  0.39 1.91 0.09
 31562   29986479  8.0  4.82 0.03  42.49 13.12 1 10.80  3.34 1.60 1.49
 31804  220436034  7.4  5.26 0.02  50.66  0.58 0 10.81  0.15 1.92 0.07
 32107   55653036  7.9  4.95 0.02  50.80  0.68 0 12.25  0.19 2.47 0.11
 32244  220458728  7.9  4.15 0.05  36.77  0.57 0 12.61  0.36 1.89 0.13
 32258  140686990  7.8  8.30 0.02  85.40  0.58 0  7.32  0.06 1.48 0.03
 32269   55664116  8.3  3.21 0.03  32.48  0.44 0 18.62  0.43 3.64 0.20
 32300   55661751  8.7  3.90 0.05  30.87  0.98 1 11.99  0.49 1.44 0.15
 32355  220459451  8.3  4.90 0.02  47.09  0.44 0 11.58  0.14 2.04 0.07
 32375   30264758  7.7  3.91 0.04  30.28  0.53 1 11.70  0.32 1.34 0.09
 32403   30318821  8.4  3.34 0.04  29.88  0.30 0 15.82  0.41 2.42 0.14
 32415   30399782  6.3  5.88 0.05  63.29  1.72 1 10.81  0.35 2.39 0.21
